ID	USER	AGENT	INTENT	ENTITIES	SLOTS
conv1	 bonjour,   bonjour, je passerai commande seulement si les frais de port sont à 0 €, surtout pour une commande de 220 €. très cordialement.    _Email1_	 vous pouvez utiliser la remise spéciale pour Noël : 5€ de remise dès 60€ d'achat ( hors frais de port ) avec le code NOEL et 10€ de remise dès 100€ d'achat ( hors frais de port ) avec le code NOEL0	['deliveryCost']	[{'fdp': 'frais de port'}, {'free': '0 €'}, {'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}, {'delivery': ' free'}]
	 dommage. ☺ assez de bonnes fêtes de fin d'année.	 je vous remercie  au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}, {'delivery': ' free'}]
					
conv1028	 J problème pour régler   comment régler	 vous pouvez régler votre commande à l'étape 4	['PaymentRefused']	[{'payment': 'régler'}]	[{'Store name': 'Parfum moins cher'}]
	 il met, je veux régler avec PayPal et moi non.je veux régler avec ma carte	 vous avez le choix de payer avec votre carte bancaire ou alors via Paypal, il vous suffit de cocher la case carte bancaire	['PaymentTool']	[{'payment': 'régler'}, {'tool': 'PayPal'}, {'tool': 'carte'}]	[{'Store name': 'Parfum moins cher'}, {'paypal': ' no paypal'}]
	 il   Merci	 c'est bon pour vous ? vous avez trouvé ?	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'paypal': ' no paypal'}]
	 non	 A quelle étape êtes vous ?	['non']	[]	[{'Store name': 'Parfum moins cher'}, {'paypal': ' no paypal'}]
	 il remet livraison	 donc vous êtes à l'étape 3 : livraison, c'est ça ?	['PaymentRefused']	[{'delivery': 'livraison'}]	[{'Store name': 'Parfum moins cher'}, {'paypal': ' no paypal'}, {'payment_tool': 'cb'}, {'step': 'delivery'}]
	 oui   je ne comprends plus.	 alors à l'étape 3 vous devez choisir votre mode de livraison : c'est à dire livraison en point relais, livraison standard ou livraison premium	['oui']	[]	[{'Store name': 'Parfum moins cher'}, {'paypal': ' no paypal'}, {'payment_tool': 'cb'}, {'step': 'delivery'}]
	 je ne comprends rien	 Madame, vous devez choisir votre mode de livraison	['non']	[]	[{'Store name': 'Parfum moins cher'}, {'paypal': ' no paypal'}, {'payment_tool': 'cb'}, {'step': 'delivery'}]
